No.,Name,Market Cap,Percentage
1,Bitcoin,"$1,142,523,865,617",54.65%
2,Ethereum,"$368,524,016,418",17.63%
3,Tether USDt,"$112,249,206,261",5.37%
4,BNB,"$77,884,404,999",3.73%
5,Solana,"$66,597,484,960",3.19%
6,USDC,"$33,701,617,325",1.61%
7,XRP,"$25,044,465,173",1.2%
8,Toncoin,"$19,251,247,367",0.92%
9,Dogecoin,"$16,425,448,116",0.79%
10,Cardano,"$13,296,582,516",0.64%
11,TRON,"$11,319,820,964",0.54%
12,Avalanche,"$10,843,638,977",0.52%
13,Shiba Inu,"$10,078,391,062",0.48%
14,Polkadot,"$8,951,946,706",0.43%
15,Chainlink,"$8,046,423,617",0.38%
16,Bitcoin Cash,"$6,737,385,788",0.32%
17,Dai,"$5,347,885,235",0.26%
18,UNUS SED LEO,"$5,258,464,571",0.25%
19,NEAR Protocol,"$5,246,352,441",0.25%
20,Polygon,"$4,976,104,414",0.24%
21,Uniswap,"$4,917,718,834",0.24%
22,Litecoin,"$4,853,596,264",0.23%
23,Kaspa,"$4,140,175,089",0.2%
24,Pepe,"$4,123,770,253",0.2%
25,Internet Computer,"$3,464,228,632",0.17%
26,Artificial Superintelligence Alliance,"$3,144,186,844",0.15%
27,Ethereum Classic,"$3,120,318,015",0.15%
28,Monero,"$2,903,935,978",0.14%
29,Aptos,"$2,732,752,008",0.13%
30,Render,"$2,709,129,884",0.13%
31,Stellar,"$2,627,304,411",0.13%
32,Hedera,"$2,528,503,413",0.12%
33,Cosmos,"$2,366,090,893",0.11%
34,Cronos,"$2,311,479,989",0.11%
35,OKB,"$2,272,354,828",0.11%
36,Arbitrum,"$2,225,505,444",0.11%
37,Filecoin,"$2,222,730,303",0.11%
38,Stacks,"$2,181,659,940",0.1%
39,Mantle,"$2,177,167,675",0.1%
40,Maker,"$2,176,809,018",0.1%
41,dogwifhat,"$2,012,741,791",0.1%
42,Immutable,"$2,004,564,053",0.1%
43,VeChain,"$1,981,761,230",0.09%
44,First Digital USD,"$1,916,263,335",0.09%
45,Injective,"$1,888,926,690",0.09%
46,The Graph,"$1,788,212,032",0.09%
47,Sui,"$1,733,532,055",0.08%
48,Optimism,"$1,669,969,388",0.08%
49,Bittensor,"$1,615,402,060",0.08%
50,Bonk,"$1,592,415,978",0.08%
51,Arweave,"$1,556,972,411",0.07%
52,Bitget Token,"$1,476,440,884",0.07%
53,Lido DAO,"$1,457,309,639",0.07%
54,FLOKI,"$1,454,524,415",0.07%
55,Ondo,"$1,434,890,699",0.07%
56,Theta Network,"$1,353,954,455",0.06%
57,Fantom,"$1,285,971,290",0.06%
58,Brett (Based),"$1,284,481,860",0.06%
59,JasmyCoin,"$1,232,145,689",0.06%
60,Aave,"$1,230,526,946",0.06%
61,Notcoin,"$1,198,218,310",0.06%
62,THORChain,"$1,190,387,493",0.06%
63,Algorand,"$1,132,299,042",0.05%
64,Celestia,"$1,084,986,794",0.05%
65,Jupiter,"$1,083,342,526",0.05%
66,Pyth Network,"$1,059,097,287",0.05%
67,Core,"$997,752,925",0.05%
68,MultiversX,"$951,257,676",0.05%
69,Flare,"$932,105,819",0.04%
70,Quant,"$902,052,820",0.04%
71,Sei,"$881,342,054",0.04%
72,KuCoin Token,"$872,633,425",0.04%
73,Akash Network,"$865,943,279",0.04%
74,Starknet,"$843,108,531",0.04%
75,Ethereum Name Service,"$837,745,865",0.04%
76,Flow,"$815,803,611",0.04%
77,Axie Infinity,"$792,809,643",0.04%
78,EOS,"$778,076,060",0.04%
79,dYdX (Native),"$773,540,625",0.04%
80,BitTorrent [New],"$765,788,136",0.04%
81,Beam,"$750,347,897",0.04%
82,USDD,"$738,036,248",0.04%
83,Bitcoin SV,"$737,654,222",0.04%
84,Tezos,"$734,562,517",0.04%
85,MANTRA,"$726,477,800",0.03%
86,Gala,"$725,233,152",0.03%
87,Ethena,"$702,777,684",0.03%
88,Neo,"$702,460,561",0.03%
89,The Sandbox,"$691,592,191",0.03%
90,GateToken,"$650,362,456",0.03%
91,Gnosis,"$647,534,556",0.03%
92,ORDI,"$640,293,147",0.03%
93,Pendle,"$620,745,297",0.03%
94,zkSync,"$615,696,711",0.03%
95,Chiliz,"$608,602,636",0.03%
96,Nexo,"$603,748,346",0.03%
97,Decentraland,"$602,030,485",0.03%
98,eCash,"$601,548,123",0.03%
99,Ronin,"$599,191,185",0.03%
100,Safe,"$591,050,753",0.03%
