№,Name,Market Cap,Percentage
1,Bitcoin,"$1,132,960,934,171",54.31%
2,Ethereum,"$363,199,287,867",17.41%
3,Tether USDt,"$112,239,771,529",5.38%
4,BNB,"$75,678,234,394",3.63%
5,Solana,"$64,668,497,430",3.1%
6,USDC,"$33,730,417,082",1.62%
7,XRP,"$24,466,051,156",1.17%
8,Toncoin,"$18,945,454,449",0.91%
9,Dogecoin,"$16,043,503,912",0.77%
10,Cardano,"$13,169,601,901",0.63%
11,TRON,"$11,351,009,105",0.54%
12,Avalanche,"$10,527,725,249",0.5%
13,Shiba Inu,"$9,798,014,524",0.47%
14,Polkadot,"$8,984,317,328",0.43%
15,Chainlink,"$7,813,539,936",0.37%
16,Bitcoin Cash,"$6,556,142,130",0.31%
17,UNUS SED LEO,"$5,370,623,479",0.26%
18,Dai,"$5,347,300,121",0.26%
19,NEAR Protocol,"$5,180,230,310",0.25%
20,Polygon,"$4,950,255,852",0.24%
21,Litecoin,"$4,834,342,540",0.23%
22,Uniswap,"$4,814,287,288",0.23%
23,Kaspa,"$4,101,827,959",0.2%
24,Pepe,"$3,907,833,460",0.19%
25,Internet Computer,"$3,491,122,684",0.17%
26,Ethereum Classic,"$3,065,170,397",0.15%
27,Artificial Superintelligence Alliance,"$3,044,609,155",0.15%
28,Monero,"$2,866,634,629",0.14%
29,Aptos,"$2,671,528,489",0.13%
30,Render,"$2,650,377,054",0.13%
31,Stellar,"$2,606,473,686",0.12%
32,Hedera,"$2,446,247,723",0.12%
33,Cosmos,"$2,369,551,545",0.11%
34,Cronos,"$2,290,278,738",0.11%
35,OKB,"$2,249,190,561",0.11%
36,Arbitrum,"$2,228,932,102",0.11%
37,Filecoin,"$2,195,092,546",0.11%
38,Maker,"$2,149,191,338",0.1%
39,Mantle,"$2,134,426,044",0.1%
40,Stacks,"$2,071,360,878",0.1%
41,VeChain,"$1,945,583,882",0.09%
42,Immutable,"$1,932,198,392",0.09%
43,First Digital USD,"$1,915,388,398",0.09%
44,dogwifhat,"$1,844,264,003",0.09%
45,Injective,"$1,827,404,864",0.09%
46,The Graph,"$1,753,689,193",0.08%
47,Sui,"$1,717,925,623",0.08%
48,Optimism,"$1,626,450,505",0.08%
49,Bittensor,"$1,571,929,068",0.08%
50,Notcoin,"$1,539,655,119",0.07%
51,Bonk,"$1,525,975,607",0.07%
52,Arweave,"$1,514,721,295",0.07%
53,Bitget Token,"$1,429,846,013",0.07%
54,Lido DAO,"$1,403,470,330",0.07%
55,FLOKI,"$1,398,918,716",0.07%
56,Ondo,"$1,378,254,519",0.07%
57,Theta Network,"$1,331,073,536",0.06%
58,Fantom,"$1,225,778,349",0.06%
59,Brett (Based),"$1,223,810,903",0.06%
60,Aave,"$1,212,838,695",0.06%
61,THORChain,"$1,174,115,919",0.06%
62,JasmyCoin,"$1,170,857,618",0.06%
63,Algorand,"$1,110,549,667",0.05%
64,Celestia,"$1,053,951,791",0.05%
65,Pyth Network,"$1,040,187,151",0.05%
66,Jupiter,"$1,023,850,922",0.05%
67,Core,"$958,346,209",0.05%
68,MultiversX,"$923,324,729",0.04%
69,Flare,"$908,629,231",0.04%
70,Akash Network,"$895,520,726",0.04%
71,Quant,"$887,528,819",0.04%
72,KuCoin Token,"$869,563,507",0.04%
73,Sei,"$855,865,169",0.04%
74,Starknet,"$818,379,543",0.04%
75,Flow,"$804,511,213",0.04%
76,Axie Infinity,"$783,166,370",0.04%
77,Ethereum Name Service,"$780,969,301",0.04%
78,EOS,"$778,489,276",0.04%
79,dYdX (Native),"$766,898,787",0.04%
80,MANTRA,"$757,469,673",0.04%
81,BitTorrent [New],"$753,191,105",0.04%
82,USDD,"$739,260,584",0.04%
83,Tezos,"$724,299,673",0.03%
84,Beam,"$721,359,798",0.03%
85,Bitcoin SV,"$717,097,005",0.03%
86,Gala,"$716,283,385",0.03%
87,Ethena,"$697,649,893",0.03%
88,Neo,"$695,946,664",0.03%
89,The Sandbox,"$686,472,105",0.03%
90,GateToken,"$649,745,149",0.03%
91,Gnosis,"$645,134,907",0.03%
92,ORDI,"$630,921,731",0.03%
93,Pendle,"$603,468,590",0.03%
94,Chiliz,"$599,246,504",0.03%
95,Decentraland,"$593,411,301",0.03%
96,Safe,"$592,073,208",0.03%
97,Nexo,"$590,427,612",0.03%
98,Tether Gold,"$589,641,129",0.03%
99,Ronin,"$589,857,894",0.03%
100,zkSync,"$588,637,445",0.03%
